yorum sayýsý,yorumlar:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ürün orijinal sorun yok kargo da iyiydi. Teknolojik olarak bambaþka bir seviye bu kulaklýklar ama... Tek sorun kulaklýðýn benim kulaðýma çok büyük olmasý... silikon kulaklýklarý hiç sevmiyorum diye bunu aldým ama keþke silikonlulardan alsaymýþým :( Bu küçük gibi gözüküyordu olur diye aldým ama aþýrý büyük oldu... kulaðýmdan düþüyor hep... takmaya çalýþtýkça kulaðýmý yara yaptým... ?? neden kadýnlarý da düþünerek tasarlanmýyor bunlar ya? ?? param boþa gitti gibi oldu çünkü kullanamýyorum...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Ürün kulaðýma uymadý, yürürken kulaðýmdan düþtüðü için iade edip silikonlu model airpods 2 pro ile deðiþtirmek istedim ama iadem reddedildi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Ürün teslim edildi sorunsuz gibi görünüyordu fakat sol kulaklýk sesi boðuk veriyordu apple servisi aradým , ürün faturasýný istediler gönderdim fakat ürün faturasýnda seri no yazmadýðýný yazmasý gerektiðini söylediler MediaMarkt e iletsemde yapabilecekleri bir þey olmadýðýný kutu üzerinde zaten yazdýðýný söylediler apple ile sorunu çözdüm ama sonra servise götürdüðümde kusurlu ürün olduðunu söylediler yaklaþýk 3 kere gitmem gerekti ve en sonunda sýfýr ürün ile deðiþim yaptýlar .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ÜRÜNÜN BANTLARI AÇILMIÞ VE KUTU HASARLI GELDÝ DÝREKT ÝADE ETTÝM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Kutunun içinden þarj kablosu çýkmadý.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,HERÞEY ÝYÝ HAS GÜZEL SATICI MEDÝAMARKT lakin gelen faturada sadece AirPods 4 anc yazýyor yani eskidende mediamarkt ten AirPods almýslýgým var faturasýnda seri nosu var bir kimlik gibi þimdi benim elimdeki AirPods u ben media marktan aldýðýmý þayet 3.5 ay sonra satacak olsam karþýmdaki insaný nasýl inandýrýcam GELEN FATURADA SERÝ NOLARI YAZMIYOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Çok kötü ürün ürünün gürültü engellemesiz özelliði olandan alýn bunla onun arasýnda hiçbir fark yok ikisini de aldým ben kullandým ANC siz daha güzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Sakýn olaki TRENDYOL 'dan elektronik ürün almayýn, Çünkü aldýðým ürün arýzalý çýktý ve TRENDTOL 'a geri gönderdim iade almadýklarý gibi ürünü garantiyede göndermiyorlar sebebi ise þu; TRENYOL ile tarafým arasýnda yapýlan sözleme gereði KVKK kapsamýnda ürünü teknik servise kendileri gönderemezlermiþ, benim için gizlilik sorun deðil ürünü garantiye siz gönderin diyorum ama umurlarýnda deðil aradan çekildiler sýyrýldýlar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Ürün sorunlu geldi garantiye yollamak zorunda kaldým deðiþti ama yine ayný sorun. Ýphone x,xs,xs max modelleriyle uyumlu deðil arkadaþlar baðlantýyla alakalý sorunlar yaþýyorsunuz apple ile görüþtüm bana model eski olduðu için uyumluluk garantisi vermediklerini söylediler.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Ürün çok iyi çalýþýyor fakat bütün özellikleri kapatýp sadece %50 ses seviyesi ile film izlerken bile neredeyse 2 dakikada %1 þarj gidiyor. Þarj kutusunun da þarjý enteresan bir þekilde çabuk gidiyor ve çok aktif de kullanmýyorum. Ne yapacaðýmý bilmiyorum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Ürünü aldým mikrofonu kusurluydu iki kulaklýðýnda deðiþim takebinde bulundum teknik servisten rapor istediler rapora 500 tl vermem gerekiyor raporsuz deðiþim yapýlmýyor o kadar maðdur oldum ki birdaha trendyoldan almam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,ürünü satýn aldýktan 1 ay sonra sað kulaklýk arýzalandý satýcý ya gönderdim 2 hafta oldu hala bekliyorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,kargo inanilmaz yavasti teslimata ciktigi gun degil ertesi gun ulasti elime airpods kutusunun üzerinde lekeler vardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,AirPods aldým MediaMarkt güvenerek alýþveriþ yaptým hayatýmýn þokunu yaþadým bana gelen kulaklýk jbl airpods serisi ile karýþtýrýrsýn anlarým bambaþka bir markayý nasýl gönderirsin üstelik hediye alýnmýþtý ve veremedim maðduriyetimin acil giderilmesi gerekmektedir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Ürünü sipariþ veriyorsunuz ürün 1 hafta kargoda görünüyor arýyorsunuz aa bakýn süprize satýcý ürünü kargolamamýþ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,JBL ile APPLE markasýný nasýl karýþtýrýsýnýz. Bu kadar büyük bir þirket böyle bir hatayý yapmamalý. Art niyet sezinliyorum çünkü 1 yýldýzlýlardaki problemler hep ayný. Paketleme de çok kötü lütfen airpods 4 ümü bu þekilde göndermeyin bir zahmet sarýnýz. Az para mý yahu. Bir de bekliyoruz o kadar cumaya denk geliyor iade iptal uðraþ þimdi deðer mi? Maðduriyetimin en kýsa sürede giderilmesini istiyorum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Paketleme özensiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Sanki çok orijinal gibi deðil. Son seste bile dýþardaki sesi duyabiliyorsunuz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Garanti süresi 2 yýl olmasý gerekirken yani aldýðým tarih 28.11.2025 ve garanti süresinin 28.11.2027 ye kadar olmasý gerekirken garanti süresi 01.08.2027 tarihine kadar geçerli trendyol bile kullanýlmýþ daha önceden açýlmýþ bir ürün satýyorsa kime güveneceðiz biz bu platformda almayýn aldýrmayýn!!!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Kesinlikle önermiyorum... Neden diye soracaksýnýz çünkü bende sizler gibi internetteki deðerlendirmelere inanarak aldým. Piþman oldum. Sesi fullediðiniz zaman basslý sesleri asla vermiyor. Gürültü engellemesi anlatýldýðý kadar verimli çalýþmýyor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ezik büzük çizik ürün gönderdiniz bunun için gerekli yerlere baþvuracaðým lütfen ürünün iadesini yapýp yenisini göndermenizi istiyorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kurumsal faturaya uygun olmasýna raðmen fatura kesmiyorlar cevap olarak iade edin diyorlar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gürültü engelleme diyorsunuz hic bir gürültü de.engellemiyor her sesi duyuluyor yazýk bu paraya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gürültü engelleme özellikli olaný aldým ama normal olaný yollamýþlar. Kablosuz þarj etmek istediðimde fark ettim maalesef. Açmýþ ve kullanmýþ olduðum için iade veya deðiþim de yapamýyorum. Havaya giden bi para var yani ortada maalesef ve çözülemiyor. Bu kadar dikkatsiz okunmasý gerçekten çok rahatsýz edici. Keþke daha çözüm odaklý olup yardýmcý olsalar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kulakta durmuyor çok düþüyor bu açýdan bakýldýðýnda kullanýmý sýkýntýlý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orijinal ürün gönderildi. Benim kulaðýmdan hiç düþmedi. Dýþarýda taktýðýmda gürültü engellemesi güzel fakat tamamen dýþ ortamdan sesi kesmiyor bence bu iyi birþey . Diðer türlü tehlikeli olabiliyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kutusu pislenmiþ ve köþeleri buruþmuþ halde geldi. Neyseki cihaz kendisinde bir sorun yok.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dokunmatiði çalýþmýyor? Þarkýlarý durdurup açamýyorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kafa sallmaa özelliði çalýþmýyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ürünü açmam ile servise göndermem bir oldu. Ürünün sol kulaklýðý arýzalý çýktý. Aktif gürültü engelleme özelliðini açýnca beyaz gürültü veriyor. Satýcý firmanýn fatura üzerindeki iletiþim bilgilerini arayýnca hat düþmüyor. Mecburen garantiye yolladým.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tüm özelliklerini test ettim hepsi güzel bir çok yeni özellik eklenmiþ bir alt modeline göre ayrýca boyut kutu boyutu olarakta daha küçük typ-c giriþli. Kötü tarafý þu ki markanýn bu kadar para ödemeye raðmen kutu içerisine bir þarj kablosu koymamasý korkunç kötü marka bu durumu her ne kadar plastik kullanýmýnýn önüne geçmek için yaptýðýný iddia etsede bir ürünü kullanmak tüm aksesuarlarý ile satmasý gerekiyor ne yapacaðýz güneþ ýþýný ile mi þarj edeceðiz o zaman bu teknoloji de üretsin kablo koymamak çok doðru olur ya da kabloyu tercih meselesi yapsýn ekstra para ödeyip satýn almayalým. Ek olarak satýcý ürünü ayný gün kargo demesine raðmen bir kaç gün sonra kargoladý.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rezaleettt!!!!! almayýn aldýrmayýn ürün çakma üstelik kýrýk geldi deðiþtirmek için her yere baþvurdum reddedildi hiç tavsiye etmiyorum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sýfýr cihaz yerine kullanýlmýþ ikinci el cihaz gönderildi. Kulaklýk daha önce kullanýlmýþ ve isim verilmiþ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kutu þarj olmuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yazýklar olsun kesinlikle orijinal ürün deðil daha ikinci hafta oldu ama kulaklýkda kesilmeler ve yankýlanmalar var yazýk günahtýr ya 10 bin verdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
